list-i-s,2,1,1,6,132329,22054
list-d-m,2,1,1,6,132647,22107
list-d-s,2,1,1,6,98546,16424
list-il-m,2,1,1,6,137261,22876
list-il-s,2,1,1,6,102606,17101
list-dl-m,2,1,1,6,158661,26443
list-dl-s,2,1,1,6,130644,21774
list-i-m,2,2,1,12,115326,9610
list-i-s,2,2,1,12,101701,8475
list-d-m,2,2,1,12,93726,7810
list-d-s,2,2,1,12,137049,11420
list-il-m,2,2,1,12,80964,6747
list-il-s,2,2,1,12,106175,8847
list-dl-m,2,2,1,12,132268,11022
list-dl-s,2,2,1,12,97015,8084
list-i-m,2,4,1,24,94183,3924
list-i-s,2,4,1,24,117870,4911
list-d-m,2,4,1,24,115268,4802
list-d-s,2,4,1,24,156683,6528
list-il-m,2,4,1,24,77529,3230
list-il-s,2,4,1,24,87971,3665
list-dl-m,2,4,1,24,101801,4241
list-dl-s,2,4,1,24,77209,3217
list-i-m,2,8,1,48,84811,1766
list-i-s,2,8,1,48,94866,1976
list-d-m,2,8,1,48,140906,2935
list-d-s,2,8,1,48,153969,3207
list-il-m,2,8,1,48,152690,3181
list-il-s,2,8,1,48,108248,2255
list-dl-m,2,8,1,48,106950,2228
list-dl-s,2,8,1,48,1053077,21939
list-i-m,2,10,1,60,76443,1274
list-i-s,2,10,1,60,106572,1776
list-d-m,2,10,1,60,110243,1837
list-d-s,2,10,1,60,139774,2329
list-il-m,2,10,1,60,150729,2512
list-il-s,2,10,1,60,144106,2401
list-dl-m,2,10,1,60,158609,2643
list-dl-s,2,10,1,60,162095,2701
list-i-m,2,16,1,96,158552,1651
list-i-s,2,16,1,96,153710,1601
list-d-m,2,16,1,96,137708,1434
list-d-s,2,16,1,96,155452,1619
list-il-m,2,16,1,96,162535,1693
list-il-s,2,16,1,96,142734,1486
list-dl-m,2,16,1,96,151357,1576
list-dl-s,2,16,1,96,125458,1306
list-i-m,2,32,1,192,134072,698
list-i-s,2,32,1,192,151043,786
list-d-m,2,32,1,192,131793,686
list-d-s,2,32,1,192,193475,1007
list-il-m,2,32,1,192,211010,1099
list-il-s,2,32,1,192,139775,727
list-dl-m,2,32,1,192,146939,765
list-dl-s,2,32,1,192,276210,1438
list-i-m,2,100,1,600,692894,1154
list-i-s,2,100,1,600,624790,1041
list-d-m,2,100,1,600,645253,1075
list-d-s,2,100,1,600,541040,901
list-il-m,2,100,1,600,627857,1046
list-il-s,2,100,1,600,563594,939
list-dl-m,2,100,1,600,525666,876
list-dl-s,2,100,1,600,546797,911
list-i-m,2,1000,1,6000,22908628,3818
list-i-s,2,1000,1,6000,15806198,2634
list-d-m,2,1000,1,6000,24207966,4034
list-d-s,2,1000,1,6000,19432201,3238
list-il-m,2,1000,1,6000,21608571,3601
list-il-s,2,1000,1,6000,24268926,4044
list-dl-m,2,1000,1,6000,23910770,3985
list-dl-s,2,1000,1,6000,25157605,4192
list-i-m,4,1,1,12,160288,13357
list-i-s,4,1,1,12,155604,12967
list-d-m,4,1,1,12,173178,14431
list-d-s,4,1,1,12,157497,13124
list-il-m,4,1,1,12,159772,13314
list-il-s,4,1,1,12,174278,14523
list-dl-m,4,1,1,12,180714,15059
list-dl-s,4,1,1,12,160091,13340
list-i-m,4,2,1,24,177297,7387
list-i-s,4,2,1,24,146816,6117
list-d-m,4,2,1,24,175106,7296
list-d-s,4,2,1,24,174659,7277
list-il-m,4,2,1,24,94845,3951
list-il-s,4,2,1,24,130784,5449
list-dl-m,4,2,1,24,172731,7197
list-dl-s,4,2,1,24,163565,6815
list-i-m,4,4,1,48,162639,3388
list-i-s,4,4,1,48,158265,3297
list-d-m,4,4,1,48,163740,3411
list-d-s,4,4,1,48,199331,4152
list-il-m,4,4,1,48,174478,3634
list-il-s,4,4,1,48,163618,3408
list-dl-m,4,4,1,48,189111,3939
list-dl-s,4,4,1,48,169629,3533
list-i-m,4,8,1,96,208612,2173
list-i-s,4,8,1,96,264426,2754
list-d-m,4,8,1,96,225154,2345
list-d-s,4,8,1,96,207463,2161
list-il-m,4,8,1,96,250176,2606
list-il-s,4,8,1,96,164650,1715
list-dl-m,4,8,1,96,214652,2235
list-dl-s,4,8,1,96,166531,1734
list-i-m,4,10,1,120,197497,1645
list-i-s,4,10,1,120,284115,2367
list-d-m,4,10,1,120,221029,1841
list-d-s,4,10,1,120,162840,1357
list-il-m,4,10,1,120,215786,1798
list-il-s,4,10,1,120,239396,1994
list-dl-m,4,10,1,120,208234,1735
list-dl-s,4,10,1,120,186615,1555
list-i-m,4,16,1,192,183892,957
list-i-s,4,16,1,192,315873,1645
list-d-m,4,16,1,192,270592,1409
list-d-s,4,16,1,192,268877,1400
list-il-m,4,16,1,192,285991,1489
list-il-s,4,16,1,192,223533,1164
list-dl-m,4,16,1,192,280379,1460
list-dl-s,4,16,1,192,205976,1072
list-i-m,4,32,1,384,569489,1483
list-i-s,4,32,1,384,584116,1521
list-d-m,4,32,1,384,546889,1424
list-d-s,4,32,1,384,982122,2557
list-il-m,4,32,1,384,652350,1698
list-il-s,4,32,1,384,300015,781
list-dl-m,4,32,1,384,626936,1632
list-dl-s,4,32,1,384,772185,2010
list-i-m,4,100,1,1200,1792683,1493
list-i-s,4,100,1,1200,2835909,2363
list-d-m,4,100,1,1200,2212530,1843
list-d-s,4,100,1,1200,1647214,1372
list-il-m,4,100,1,1200,2105922,1754
list-il-s,4,100,1,1200,2047371,1706
list-dl-m,4,100,1,1200,2196822,1830
list-dl-s,4,100,1,1200,2882834,2402
list-i-m,4,1000,1,12000,90345066,7528
list-i-s,4,1000,1,12000,112271168,9355
list-d-m,4,1000,1,12000,92269366,7689
list-d-s,4,1000,1,12000,69136121,5761
list-il-m,4,1000,1,12000,89762864,7480
list-il-s,4,1000,1,12000,118611107,9884
list-dl-m,4,1000,1,12000,94662628,7888
list-dl-s,4,1000,1,12000,102670471,8555
list-i-m,8,1,1,24,255001,10625
list-i-s,8,1,1,24,255170,10632
list-d-m,8,1,1,24,264350,11014
list-d-s,8,1,1,24,218415,9100
list-il-m,8,1,1,24,252798,10533
list-il-s,8,1,1,24,247041,10293
