add-m,4,10,80,166228,2077,0
add-s,4,10,80,169094,2113,0
add-c,4,10,80,107562,1344,0
add-m,4,20,160,94707,591,0
add-s,4,20,160,107428,671,0
add-c,4,20,160,162272,1014,0
add-m,4,40,320,163203,510,0
add-s,4,40,320,161339,504,0
add-c,4,40,320,174962,546,0
add-m,4,80,640,169193,264,0
add-s,4,80,640,170757,266,0
add-c,4,80,640,177395,277,0
add-m,4,100,800,169651,212,0
add-s,4,100,800,157944,197,0
add-c,4,100,800,159617,199,0
add-m,4,1000,8000,182573,22,0
add-s,4,1000,8000,182073,22,0
add-c,4,1000,8000,596925,74,0
add-m,4,10000,80000,646573,8,0
add-s,4,10000,80000,854013,10,0
add-c,4,10000,80000,6245025,78,0
add-m,4,100000,800000,5575467,6,0
add-s,4,100000,800000,8098973,10,0
add-c,4,100000,800000,57206814,71,0
add-m,8,10,160,228728,1429,0
add-s,8,10,160,200119,1250,0
add-c,8,10,160,225275,1407,0
add-m,8,20,320,165198,516,0
add-s,8,20,320,216064,675,0
add-c,8,20,320,205803,643,0
add-m,8,40,640,291586,455,0
add-s,8,40,640,197029,307,0
add-c,8,40,640,219018,342,0
add-m,8,80,1280,241568,188,0
add-s,8,80,1280,181341,141,0
add-c,8,80,1280,234078,182,0
add-m,8,100,1600,232367,145,0
add-s,8,100,1600,225178,140,0
add-c,8,100,1600,251245,157,0
add-m,8,1000,16000,205129,12,0
add-s,8,1000,16000,227454,14,0
add-c,8,1000,16000,1456011,91,0
add-m,8,10000,160000,1356195,8,0
add-s,8,10000,160000,2692988,16,0
add-c,8,10000,160000,13303160,83,0
add-m,8,100000,1600000,11543565,7,0
add-s,8,100000,1600000,27234576,17,0
add-c,8,100000,1600000,133792849,83,0
add-m,12,10,240,348047,1450,0
add-s,12,10,240,379693,1582,0
add-c,12,10,240,317568,1323,0
add-m,12,20,480,300110,625,0
add-s,12,20,480,359714,749,0
add-c,12,20,480,360076,750,0
add-m,12,40,960,327816,341,0
add-s,12,40,960,311069,324,0
add-c,12,40,960,331959,345,0
add-m,12,80,1920,313809,163,0
add-s,12,80,1920,341290,177,0
add-c,12,80,1920,323594,168,0
add-m,12,100,2400,281871,117,0
add-s,12,100,2400,297891,124,0
add-c,12,100,2400,323361,134,0
add-m,12,1000,24000,322745,13,0
add-s,12,1000,24000,285075,11,0
add-c,12,1000,24000,2373229,98,0
add-m,12,10000,240000,1948433,8,0
add-s,12,10000,240000,4992339,20,0
add-c,12,10000,240000,18885290,78,0
add-m,12,100000,2400000,16540013,6,0
add-s,12,100000,2400000,48161150,20,0
add-c,12,100000,2400000,188624142,78,0
add-yield-none,1,10,20,137920,6896,0
add-yield-none,1,20,40,147576,3689,0
